Order Date,Region,Product Category,Sales,Profit,Month,Year
2011-11-16,Nunavut,Technology,1311.25,407.44,Nov,2011
2011-11-16,Nunavut,Furniture,544.41,-338.27,Nov,2011
2011-11-16,Nunavut,Furniture,844.09,52.56,Nov,2011
2011-08-07,Nunavut,Furniture,6396.2,1902.24,Aug,2011
2010-06-08,Nunavut,Office Supplies,751.77,353.2,Jun,2010
2009-10-17,Nunavut,Office Supplies,1003.06,271.78,Oct,2009
2011-08-28,Nunavut,Furniture,1266.72,-268.36,Aug,2011
2011-09-29,Nunavut,Office Supplies,368.04,70.39,Sep,2011
2011-09-29,Nunavut,Office Supplies,152.6,-86.62,Sep,2011
2012-05-04,Nunavut,Office Supplies,3338.98,-846.73,May,2012
2011-05-17,Nunavut,Office Supplies,24.16,8.05,May,2011
2011-05-17,Northwest Territories,Office Supplies,270.84,-78.02,May,2011
2011-05-17,Northwest Territories,Furniture,3389.93,737.94,May,2011
2011-05-17,Northwest Territories,Office Supplies,266.36,-191.28,May,2011
2011-05-17,Northwest Territories,Office Supplies,89.41,-21.49,May,2011
2009-11-17,Northwest Territories,Office Supplies,2799.7,884.08,Nov,2009
2011-10-10,Northwest Territories,Office Supplies,2039.56,-329.49,Oct,2011
2012-10-07,Northwest Territories,Furniture,12175.82,2825.15,Oct,2012
2012-10-07,Northwest Territories,Office Supplies,101.21,2.13,Oct,2012
2012-10-07,Northwest Territories,Office Supplies,1585.64,707.15,Oct,2012
2011-08-13,Northwest Territories,Office Supplies,176.26,75.13,Aug,2011
2011-08-16,Northwest Territories,Furniture,4655.07,-270.63,Aug,2011
2011-08-16,Northwest Territories,Furniture,10087.6,3387.35,Aug,2011
2011-08-16,Northwest Territories,Technology,1608.08,-82.16,Aug,2011
2009-03-04,Northwest Territories,Office Supplies,12.18,-3.88,Mar,2009
2009-08-18,Northwest Territories,Office Supplies,820.52,-191.22,Aug,2009
2010-11-16,Northwest Territories,Furniture,6250.936,31.21,Nov,2010
2011-05-27,Northwest Territories,Furniture,854.88,-44.14,May,2011
2011-05-27,Northwest Territories,Office Supplies,80.27,-0.79,May,2011
2010-08-23,Northwest Territories,Office Supplies,308.54,76.42,Aug,2010
2011-08-19,Northwest Territories,Office Supplies,400.57,93.36,Aug,2011
2012-01-03,Northwest Territories,Technology,1170.025,4.22,Jan,2012
2012-11-29,Northwest Territories,Office Supplies,5188.86,395.12,Nov,2012
2012-03-17,Northwest Territories,Office Supplies,339.81,79.59,Mar,2012
2010-04-12,Northwest Territories,Furniture,1519.9,399.37,Apr,2010
2010-08-24,Northwest Territories,Office Supplies,102.24,37.79,Aug,2010
2011-07-04,Northwest Territories,Furniture,965.69,-144.2,Jul,2011
2010-11-10,Northwest Territories,Office Supplies,397.84,-14.75,Nov,2010
2010-06-24,Northwest Territories,Office Supplies,73.07,-41.01,Jun,2010
2010-06-24,Northwest Territories,Furniture,4679.1,111.52,Jun,2010
2012-09-19,Northwest Territories,Technology,8009.5925,2332.4,Sep,2012
2012-09-19,Northwest Territories,Furniture,4689.66,2176.19,Sep,2012
2011-12-24,Northwest Territories,Technology,3019.41,1269.05,Dec,2011
2012-03-23,Northwest Territories,Office Supplies,36.86,-32.82,Mar,2012
2011-10-15,Northwest Territories,Technology,22079.47,5322.14,Oct,2011
2010-08-07,Northwest Territories,Furniture,5407.31,1068.48,Aug,2010
2009-03-03,Northwest Territories,Furniture,74.3,-129.01,Mar,2009
2010-02-09,Northwest Territories,Technology,21506.77,1260.51,Feb,2010
2010-02-09,Northwest Territories,Office Supplies,669.02,-1274.02,Feb,2010
2009-01-17,Northwest Territories,Office Supplies,1143.49,-193.44,Jan,2009
2009-01-17,Northwest Territories,Office Supplies,78.08,-43.1,Jan,2009
2010-08-30,Northwest Territories,Furniture,5297.47,-158.93,Aug,2010
2010-08-30,Northwest Territories,Office Supplies,95.3,29.68,Aug,2010
2009-09-11,Northwest Territories,Office Supplies,460.68,-116.76,Sep,2009
2009-09-11,Northwest Territories,Technology,318.7585,-160.95,Sep,2009
2009-07-16,Northwest Territories,Office Supplies,1020.61,-209.61,Jul,2009
2012-11-15,Northwest Territories,Office Supplies,268.34,-240.83,Nov,2012
2011-09-10,Northwest Territories,Office Supplies,209.0,12.32,Sep,2011
2011-04-10,Northwest Territories,Office Supplies,501.32,-119.08,Apr,2011
2011-04-10,Northwest Territories,Office Supplies,275.16,43.35,Apr,2011
2011-04-10,Northwest Territories,Office Supplies,1302.99,545.49,Apr,2011
2011-10-09,Northwest Territories,Office Supplies,40.1,-16.07,Oct,2011
2011-10-09,Northwest Territories,Office Supplies,1414.05,161.48,Oct,2011
2012-10-23,Northwest Territories,Furniture,5350.61,-1059.2,Oct,2012
2012-01-08,Northwest Territories,Technology,310.87,-21.48,Jan,2012
2010-01-25,Northwest Territories,Office Supplies,9062.73,3122.78,Jan,2010
2010-01-25,Northwest Territories,Furniture,1584.1,-478.22,Jan,2010
2011-01-27,Northwest Territories,Furniture,283.58,-14.23,Jan,2011
2011-01-27,Northwest Territories,Technology,5403.37,948.79,Jan,2011
2011-01-27,Northwest Territories,Office Supplies,82.15,-6.33,Jan,2011
2009-08-27,Northwest Territories,Office Supplies,2066.16,372.36,Aug,2009
2011-03-17,Northwest Territories,Furniture,4605.36,678.26,Mar,2011
2011-03-17,Northwest Territories,Furniture,1753.51,155.72,Mar,2011
2012-06-06,Northwest Territories,Furniture,426.34,73.53,Jun,2012
2011-04-11,Northwest Territories,Furniture,1837.44,-1414.41,Apr,2011
2011-04-11,Northwest Territories,Furniture,3722.29,950.68,Apr,2011
2011-04-11,Northwest Territories,Office Supplies,28.05,-5.41,Apr,2011
2012-11-06,Northwest Territories,Technology,311.44,74.07,Nov,2012
2012-11-06,Northwest Territories,Furniture,215.65,77.38,Nov,2012
2012-05-16,Northwest Territories,Technology,121.12,-118.82,May,2012
2012-04-09,Northwest Territories,Office Supplies,300.2,6.41,Apr,2012
2012-04-09,Northwest Territories,Technology,1364.8025,-183.68,Apr,2012
2012-08-05,Northwest Territories,Office Supplies,128.21,-55.13,Aug,2012
2009-07-22,Northwest Territories,Office Supplies,252.79,58.23,Jul,2009
2010-05-09,Northwest Territories,Office Supplies,50.97,4.45,May,2010
2010-05-09,Northwest Territories,Office Supplies,4.99,-3.06,May,2010
2009-02-18,Northwest Territories,Furniture,10554.63,1240.25,Feb,2009
2009-02-18,Northwest Territories,Furniture,1749.64,-533.23,Feb,2009
2012-06-27,Northwest Territories,Furniture,1943.72,-1003.58,Jun,2012
2012-06-27,Northwest Territories,Office Supplies,18.37,-4.06,Jun,2012
2012-06-27,Northwest Territories,Technology,6175.777,1881.58,Jun,2012
2010-09-30,Northwest Territories,Office Supplies,157.97,-42.38,Sep,2010
2010-04-15,Northwest Territories,Office Supplies,144.84,-120.99,Apr,2010
2010-04-15,Northwest Territories,Office Supplies,127.16,12.88,Apr,2010
2011-09-14,Northwest Territories,Technology,5472.12,-2816.34,Sep,2011
2010-09-21,Northwest Territories,Furniture,1810.67,-541.87,Sep,2010
2010-08-17,Northwest Territories,Technology,633.56,-158.87,Aug,2010
2009-09-16,Northwest Territories,Office Supplies,644.4,-97.28,Sep,2009
2009-06-22,Northwest Territories,Furniture,1211.98,-80.83,Jun,2009
2012-08-28,Northwest Territories,Furniture,3316.08,-514.32,Aug,2012
2011-06-07,Northwest Territories,Office Supplies,207.08,-131.82,Jun,2011
2011-06-07,Northwest Territories,Office Supplies,234.28,-65.42,Jun,2011
2011-06-07,Northwest Territories,Technology,1779.8915,-250.17,Jun,2011
2009-10-09,Northwest Territories,Office Supplies,114.12,15.73,Oct,2009
2009-10-09,Northwest Territories,Technology,436.05,-92.58,Oct,2009
2009-10-09,Northwest Territories,Technology,5247.4835,1465.87,Oct,2009
2010-12-05,Northwest Territories,Technology,173.417,18.23,Dec,2010
2009-06-07,Northwest Territories,Office Supplies,23792.93,10951.31,Jun,2009
2009-07-27,Northwest Territories,Office Supplies,256.12,-18.19,Jul,2009
2011-09-05,Northwest Territories,Office Supplies,387.0,-31.45,Sep,2011
2009-01-11,Northwest Territories,Technology,1143.45,304.42,Jan,2009
2010-08-15,Northwest Territories,Technology,42.31,-53.08,Aug,2010
2010-08-15,Northwest Territories,Office Supplies,152.67,12.76,Aug,2010
2009-08-05,Northwest Territories,Office Supplies,82.61,-46.25,Aug,2009
2011-09-17,Northwest Territories,Furniture,789.94,-190.41,Sep,2011
2011-10-22,Northwest Territories,Office Supplies,435.24,174.89,Oct,2011
2009-11-14,Northwest Territories,Office Supplies,473.7,72.51,Nov,2009
2009-11-14,Northwest Territories,Technology,553.5625,-76.86,Nov,2009
2010-07-03,Northwest Territories,Office Supplies,54.78,-30.54,Jul,2010
2010-07-03,Northwest Territories,Office Supplies,304.83,23.82,Jul,2010
2009-01-30,Northwest Territories,Technology,16066.85,7416.43,Jan,2009
2012-03-15,Northwest Territories,Office Supplies,618.9,54.92,Mar,2012
2009-08-10,Northwest Territories,Technology,1665.0395,366.51,Aug,2009
2010-04-01,Northwest Territories,Furniture,1049.79,135.79,Apr,2010
2010-04-01,Northwest Territories,Office Supplies,817.18,103.38,Apr,2010
2010-07-31,Northwest Territories,Furniture,465.83,-79.72,Jul,2010
2009-05-29,Northwest Territories,Technology,241.706,-92.96,May,2009
2010-10-11,Northwest Territories,Technology,275.91,-162.37,Oct,2010
2010-05-18,Northwest Territories,Office Supplies,30.83,7.27,May,2010
2011-02-08,Northwest Territories,Office Supplies,121.66,-11.8,Feb,2011
2010-12-07,Northwest Territories,Office Supplies,108.42,-50.82,Dec,2010
2010-12-07,Northwest Territories,Office Supplies,78.47,17.99,Dec,2010
2009-01-06,Northwest Territories,Furniture,26133.39,-11053.6,Jan,2009
2012-03-12,Northwest Territories,Technology,2671.21,636.18,Mar,2012
2010-08-26,Northwest Territories,Technology,531.66,135.65,Aug,2010
2010-08-26,Northwest Territories,Office Supplies,317.85,-13.95,Aug,2010
2010-08-26,Northwest Territories,Office Supplies,163.08,66.17,Aug,2010
2011-06-20,Northwest Territories,Office Supplies,103.07,-0.95,Jun,2011
2010-08-04,Northwest Territories,Technology,17.19,-35.34,Aug,2010
2010-08-04,Northwest Territories,Technology,2689.48,399.93,Aug,2010
2010-08-04,Northwest Territories,Office Supplies,15.31,-8.15,Aug,2010
2010-11-23,Northwest Territories,Office Supplies,270.63,7.07,Nov,2010
2010-11-23,Northwest Territories,Technology,6583.913,1459.79,Nov,2010
2009-08-02,Northwest Territories,Technology,4865.72,1951.3,Aug,2009
2011-08-10,Northwest Territories,Furniture,1003.31,51.9,Aug,2011
2011-08-10,Northwest Territories,Furniture,6048.18,1418.36,Aug,2011
2010-05-06,Northwest Territories,Technology,3051.27,121.48,May,2010
2012-06-28,Northwest Territories,Furniture,9633.59,176.67,Jun,2012
2012-06-28,Northwest Territories,Furniture,3758.77,753.61,Jun,2012
2011-03-23,Northwest Territories,Furniture,143.78,75.3,Mar,2011
2011-11-19,Northwest Territories,Furniture,440.92,-65.18,Nov,2011
2012-11-26,Northwest Territories,Technology,4343.51,-3755.03,Nov,2012
2010-07-29,Northwest Territories,Technology,593.32,28.99,Jul,2010
2010-07-29,Northwest Territories,Office Supplies,626.07,185.32,Jul,2010
2012-05-12,Northwest Territories,Office Supplies,557.23,-42.99,May,2012
2012-03-03,Northwest Territories,Technology,261.88,-59.2,Mar,2012
2012-03-03,Northwest Territories,Office Supplies,593.73,108.01,Mar,2012
2010-08-20,Northwest Territories,Office Supplies,120.77,19.86,Aug,2010
2010-06-27,Northwest Territories,Furniture,795.74,-127.39,Jun,2010
2010-06-27,Northwest Territories,Technology,251.75,22.46,Jun,2010
2012-10-29,Northwest Territories,Office Supplies,697.41,81.71,Oct,2012
2010-01-16,Northwest Territories,Furniture,4684.9,-549.27,Jan,2010
2012-06-29,Northwest Territories,Furniture,905.94,-4.19,Jun,2012
2011-08-08,Northwest Territories,Office Supplies,270.23,52.02,Aug,2011
2011-08-08,Northwest Territories,Office Supplies,660.27,63.83,Aug,2011
2010-02-21,Northwest Territories,Office Supplies,32.4,8.78,Feb,2010
2011-06-20,Northwest Territories,Technology,4688.9485,1215.44,Jun,2011
2009-09-04,Northwest Territories,Office Supplies,50.7,-44.07,Sep,2009
2009-09-04,Northwest Territories,Technology,90.06,-100.51,Sep,2009
2009-09-04,Northwest Territories,Furniture,338.52,-17.75,Sep,2009
2009-09-04,Northwest Territories,Technology,6109.817,1374.95,Sep,2009
2009-06-21,Northwest Territories,Furniture,34.11,-12.95,Jun,2009
2012-02-08,Northwest Territories,Technology,538.22,-154.66,Feb,2012
2009-03-11,Northwest Territories,Technology,1064.23,-127.56,Mar,2009
2009-03-11,Northwest Territories,Office Supplies,3497.05,282.18,Mar,2009
2009-03-11,Northwest Territories,Technology,774.0525,-96.34,Mar,2009
2011-06-04,Northwest Territories,Furniture,74.05,44.54,Jun,2011
2012-03-02,Northwest Territories,Technology,5753.85,2509.52,Mar,2012
2011-08-12,Northwest Territories,Office Supplies,18235.47,1166.93,Aug,2011
2011-08-12,Northwest Territories,Technology,2631.107,297.11,Aug,2011
2009-09-01,Northwest Territories,Office Supplies,209.42,65.41,Sep,2009
2010-01-26,Northwest Territories,Office Supplies,324.4,-46.98,Jan,2010
2010-01-26,Northwest Territories,Office Supplies,137.02,-46.89,Jan,2010
2011-09-02,Northwest Territories,Office Supplies,232.67,-105.14,Sep,2011
2011-09-02,Northwest Territories,Furniture,4805.92,-393.96,Sep,2011
2012-02-07,Northwest Territories,Office Supplies,62.26,-23.24,Feb,2012
2012-02-07,Northwest Territories,Office Supplies,58.53,-24.86,Feb,2012
2011-03-19,Northwest Territories,Office Supplies,157.79,-95.92,Mar,2011
2011-05-08,Northwest Territories,Office Supplies,376.21,89.56,May,2011
2009-09-25,Northwest Territories,Office Supplies,1601.24,520.69,Sep,2009
2009-09-25,Northwest Territories,Office Supplies,501.31,38.23,Sep,2009
2012-07-09,Northwest Territories,Office Supplies,24.96,-12.8,Jul,2012
2010-01-14,Northwest Territories,Office Supplies,166.76,-46.03,Jan,2010
2009-08-26,Northwest Territories,Office Supplies,811.13,-517.47,Aug,2009
2009-10-08,Northwest Territories,Technology,822.8425,4.39,Oct,2009
2011-11-10,Northwest Territories,Technology,3310.9455,822.4,Nov,2011
2012-04-15,Northwest Territories,Technology,55.02,-56.12,Apr,2012
2012-01-02,Northwest Territories,Office Supplies,192.58,24.6,Jan,2012
2011-03-08,Northwest Territories,Office Supplies,291.67,54.46,Mar,2011
2009-07-02,Northwest Territories,Office Supplies,281.39,-106.4,Jul,2009
2009-07-02,Northwest Territories,Technology,12593.91,2699.67,Jul,2009
2011-04-15,Northwest Territories,Furniture,6123.94,1292.44,Apr,2011
2011-11-25,Northwest Territories,Office Supplies,19325.2,8793.54,Nov,2011
2011-11-25,Northwest Territories,Furniture,8380.22,813.83,Nov,2011
2012-04-25,Northwest Territories,Office Supplies,35.17,5.58,Apr,2012
2011-03-26,Northwest Territories,Technology,17387.65,6907.61,Mar,2011
2011-03-26,Northwest Territories,Office Supplies,6040.22,-942.5,Mar,2011
2010-07-14,Northwest Territories,Office Supplies,691.59,261.24,Jul,2010
2010-07-14,Northwest Territories,Office Supplies,345.2,183.53,Jul,2010
2010-10-23,Northwest Territories,Technology,1955.0765,470.83,Oct,2010
2009-08-24,Northwest Territories,Office Supplies,217.93,-29.02,Aug,2009
2011-06-09,Northwest Territories,Furniture,254.76,109.88,Jun,2011
2012-11-23,Northwest Territories,Furniture,6806.66,801.72,Nov,2012
2012-11-23,Northwest Territories,Furniture,891.61,-328.36,Nov,2012
2012-11-23,Northwest Territories,Technology,165.04,-112.44,Nov,2012
2009-05-01,Northwest Territories,Office Supplies,789.01,-539.59,May,2009
2012-05-11,Northwest Territories,Furniture,97.57,-27.31,May,2012
2012-05-11,Northwest Territories,Office Supplies,110.32,-32.65,May,2012
2010-10-15,Northwest Territories,Office Supplies,321.68,-12.25,Oct,2010
2010-10-15,Northwest Territories,Office Supplies,971.95,-21.1,Oct,2010
2010-10-15,Northwest Territories,Office Supplies,2149.03,-235.56,Oct,2010
2011-07-23,Northwest Territories,Office Supplies,3671.3,900.06,Jul,2011
2011-07-23,Northwest Territories,Technology,1763.6,455.37,Jul,2011
2011-07-11,Northwest Territories,Office Supplies,403.17,147.45,Jul,2011
2012-09-16,Northwest Territories,Office Supplies,89.97,23.48,Sep,2012
2012-09-16,Northwest Territories,Office Supplies,456.91,-328.18,Sep,2012
2009-01-16,Northwest Territories,Office Supplies,249.02,-282.61,Jan,2009
2009-01-16,Northwest Territories,Office Supplies,78.49,5.53,Jan,2009
2010-10-20,Northwest Territories,Office Supplies,40.72,-10.25,Oct,2010
2010-10-20,Northwest Territories,Office Supplies,113.3,37.33,Oct,2010
2010-08-30,Northwest Territories,Technology,1219.19,44.37,Aug,2010
2010-08-30,Northwest Territories,Office Supplies,28.68,-0.12,Aug,2010
2010-05-07,Northwest Territories,Office Supplies,3548.67,1280.19,May,2010
2011-06-21,Northwest Territories,Furniture,178.78,-28.34,Jun,2011
2010-11-24,Northwest Territories,Furniture,6045.98,-996.67,Nov,2010
2012-04-27,Northwest Territories,Technology,56.695,-70.97,Apr,2012
2012-08-28,Northwest Territories,Technology,1350.531,221.18,Aug,2012
2011-07-31,Northwest Territories,Office Supplies,100.4,11.94,Jul,2011
2011-07-31,Northwest Territories,Office Supplies,327.15,47.3,Jul,2011
2012-10-06,Northwest Territories,Office Supplies,30.51,-17.68,Oct,2012
2012-10-06,Northwest Territories,Office Supplies,127.8,-30.48,Oct,2012
2010-02-06,Northwest Territories,Technology,242.36,-131.48,Feb,2010
2010-02-06,Northwest Territories,Office Supplies,802.19,56.26,Feb,2010
2010-02-06,Northwest Territories,Office Supplies,63.52,-8.47,Feb,2010
2011-10-17,Northwest Territories,Office Supplies,371.94,106.53,Oct,2011
2009-08-20,Northwest Territories,Office Supplies,349.43,-44.92,Aug,2009
2009-08-20,Northwest Territories,Office Supplies,58.33,-35.08,Aug,2009
2009-08-20,Northwest Territories,Office Supplies,10377.22,965.48,Aug,2009
2010-06-14,Northwest Territories,Office Supplies,140.66,11.34,Jun,2010
2010-06-14,Northwest Territories,Office Supplies,42.89,-32.48,Jun,2010
2010-06-14,Northwest Territories,Technology,226.5,-173.15,Jun,2010
2010-06-14,Northwest Territories,Technology,438.93,-119.02,Jun,2010
2010-02-27,Northwest Territories,Technology,15251.5,5353.19,Feb,2010
2009-08-15,Northwest Territories,Office Supplies,34.42,9.47,Aug,2009
2009-08-15,Northwest Territories,Office Supplies,172.76,73.18,Aug,2009
2009-08-15,Northwest Territories,Technology,853.162,-83.95,Aug,2009
2011-05-14,Northwest Territories,Office Supplies,35.65,-5.92,May,2011
2010-10-07,Northwest Territories,Office Supplies,199.86,-257.11,Oct,2010
2010-10-07,Northwest Territories,Technology,1888.02,192.33,Oct,2010
2010-10-07,Northwest Territories,Office Supplies,322.69,1.91,Oct,2010
2009-10-23,Northwest Territories,Office Supplies,22.06,-22.28,Oct,2009
2009-10-23,Northwest Territories,Technology,12616.2,2808.22,Oct,2009
2010-06-09,Northwest Territories,Office Supplies,148.17,-7.06,Jun,2010
2011-01-10,Northwest Territories,Office Supplies,217.25,33.5,Jan,2011
2011-01-10,Northwest Territories,Furniture,5993.74,-998.94,Jan,2011
2009-01-30,Northwest Territories,Technology,361.65,-144.27,Jan,2009
2011-03-28,Northwest Territories,Office Supplies,1038.82,-78.36,Mar,2011
2011-03-28,Northwest Territories,Office Supplies,564.39,51.82,Mar,2011
2010-11-22,Northwest Territories,Technology,826.9735,-413.33,Nov,2010
2011-05-30,Northwest Territories,Technology,999.226,381.17,May,2011
2012-05-13,Northwest Territories,Technology,2298.32,218.72,May,2012
2010-06-08,Northwest Territories,Office Supplies,1168.15,-743.96,Jun,2010
2009-11-29,Northwest Territories,Office Supplies,181.78,71.56,Nov,2009
2012-09-01,Northwest Territories,Technology,1184.32,-99.55,Sep,2012
2010-02-26,Northwest Territories,Technology,71.94,-70.68,Feb,2010
2010-02-26,Northwest Territories,Office Supplies,550.61,98.32,Feb,2010
2010-02-26,Northwest Territories,Office Supplies,1373.11,-599.54,Feb,2010
2012-05-21,Northwest Territories,Office Supplies,368.18,-36.78,May,2012
2009-11-08,Northwest Territories,Office Supplies,224.47,-49.31,Nov,2009
2010-08-27,Northwest Territories,Furniture,104.85,-98.31,Aug,2010
2012-08-17,Northwest Territories,Office Supplies,256.0,-119.84,Aug,2012
2012-08-17,Northwest Territories,Furniture,6067.76,-98.05,Aug,2012
2012-11-09,Northwest Territories,Furniture,2754.93,-1.33,Nov,2012
2012-11-09,Northwest Territories,Office Supplies,19417.55,8417.57,Nov,2012
2011-06-02,Northwest Territories,Furniture,4842.21,-1975.26,Jun,2011
2011-08-10,Northwest Territories,Office Supplies,615.58,168.0,Aug,2011
2011-08-10,Northwest Territories,Furniture,8387.1,2113.95,Aug,2011
2011-08-10,Northwest Territories,Furniture,126.02,66.97,Aug,2011
2011-08-10,Northwest Territories,Office Supplies,68.14,6.37,Aug,2011
2009-02-27,Northwest Territories,Technology,71.47,-62.73,Feb,2009
2010-06-07,Northwest Territories,Technology,568.3355,-147.36,Jun,2010
2012-02-17,Northwest Territories,Technology,2157.3085,519.25,Feb,2012
2012-02-23,Northwest Territories,Furniture,1363.0,149.83,Feb,2012
2012-02-23,Northwest Territories,Furniture,4698.5,-219.38,Feb,2012
2012-02-23,Northwest Territories,Office Supplies,347.47,-86.2,Feb,2012
2009-10-15,Northwest Territories,Furniture,1404.22,202.87,Oct,2009
2009-03-13,Northwest Territories,Office Supplies,17.52,-12.16,Mar,2009
2010-03-12,Northwest Territories,Furniture,4273.8,-1775.83,Mar,2010
2009-07-07,Northwest Territories,Office Supplies,192.18,-48.88,Jul,2009
2012-11-21,Northwest Territories,Office Supplies,483.96,-34.09,Nov,2012
2012-11-21,Northwest Territories,Technology,308.363,42.27,Nov,2012
2012-11-21,Northwest Territories,Technology,1911.4035,822.89,Nov,2012
2009-03-02,Northwest Territories,Technology,862.2,-45.1,Mar,2009
2011-09-22,Northwest Territories,Office Supplies,120.03,-56.06,Sep,2011
2011-07-21,Northwest Territories,Office Supplies,18.92,-18.25,Jul,2011
2009-07-13,Northwest Territories,Office Supplies,237.28,-2088.68,Jul,2009
2010-03-29,Northwest Territories,Office Supplies,324.55,-12.82,Mar,2010
2010-03-29,Northwest Territories,Furniture,8901.78,2795.36,Mar,2010
2010-02-06,Northwest Territories,Technology,1062.959,298.48,Feb,2010
2012-09-12,Northwest Territories,Furniture,7468.86,2155.41,Sep,2012
2010-12-22,Northwest Territories,Technology,710.328,-10.3,Dec,2010
2009-05-30,Northwest Territories,Office Supplies,3510.82,232.44,May,2009
2012-12-21,Northwest Territories,Office Supplies,281.84,-21.85,Dec,2012
2012-12-21,Northwest Territories,Technology,509.52,-145.78,Dec,2012
2012-12-21,Northwest Territories,Technology,97.02,-3.96,Dec,2012
